DE1-R1_fitness,DE1-R1_error,DE2-R1_fitness,DE2-R1_error,barcode,DE1_fitness,DE1_error,DE2_fitness,DE2_error
0.3065041662065104,0.05715509137941519,0.28261799497226275,0.05977632524833762,53,0.30650416620651033,0.05715509137941519,0.2826179949722627,0.05977632524833761
1.0475094895837471,0.05022482891776594,1.0541352851877703,0.050365007757944225,151,1.0475094895837471,0.05022482891776594,1.0541352851877703,0.05036500775794423
0.2844712858747815,0.059742446533226794,0.28425341545071714,0.06389658881306923,262,0.2844712858747815,0.059742446533226794,0.28425341545071714,0.06389658881306923
0.8224304895719595,0.05067009157769472,0.8480152598175631,0.051071231960034026,273,0.8224304895719596,0.05067009157769472,0.8480152598175632,0.051071231960034026
0.7382487883304827,0.05146733553099836,0.7756172831382548,0.05216695419210433,323,0.7382487883304826,0.05146733553099835,0.7756172831382548,0.05216695419210433
0.9842747827960913,0.05060180723508839,1.0503379314066421,0.05110929804677207,415,0.9842747827960913,0.05060180723508839,1.0503379314066421,0.05110929804677207
0.3036767256866712,0.05969922918459703,0.3274794653428462,0.06336763294881934,622,0.30367672568667115,0.05969922918459703,0.3274794653428462,0.06336763294881934
1.042564968571702,0.052063392950696855,1.0876396210370767,0.053269243770100824,689,1.042564968571702,0.052063392950696855,1.0876396210370767,0.053269243770100824
0.29442514470804726,0.05832329274179888,0.3445772078911524,0.061669212790305676,697,0.2944251447080473,0.058323292741798885,0.3445772078911524,0.061669212790305676
0.9776907697081657,0.050226528184756966,1.0155038354693195,0.050393706235321516,1379,0.9776907697081658,0.05022652818475697,1.0155038354693195,0.050393706235321516
0.9573276769592421,0.050777473380958976,1.017613526533684,0.05129301750941227,1488,0.957327676959242,0.050777473380958976,1.017613526533684,0.05129301750941227
0.2857516255154154,0.05974013231964167,0.3164934446574766,0.06431697542857515,1564,0.2857516255154154,0.05974013231964166,0.3164934446574766,0.06431697542857515
0.719624870739601,0.05096259850135975,0.7196510168665279,0.051271319110823915,1617,0.719624870739601,0.05096259850135976,0.7196510168665278,0.051271319110823915
0.025445642638220817,0.07012976926443634,0.07300675050636016,0.08078211880733055,1641,0.025445642638220817,0.07012976926443634,0.07300675050636016,0.08078211880733055
