"barcode","DE1-R1-T0","DE1-R1-T1","DE1-R1-T2","DE1-R1-T3","DE1-R1-T4","DE2-R1-T0","DE2-R1-T1","DE2-R1-T2","DE2-R1-T4","DE2-R1-T3"
121915,3156,126,1689,1573,1474,2268,607,892,802,1573
122137,8641,448,7285,7223,7688,7073,2207,3191,4631,7223
122302,6041,319,2685,2105,1492,4709,1409,1513,896,2105
124210,13478,684,9658,10031,10773,9839,3025,5224,6588,10031
128188,5367,214,4716,4849,5230,4656,1083,1963,3190,4849
129569,3986,145,2377,2003,1825,3192,576,1218,1266,2003
132735,9051,371,6707,6672,7726,7832,1757,3025,4404,6672
132805,6510,314,3077,2417,2162,4933,1116,1700,1155,2417
134852,13141,582,5767,4228,3195,10242,2191,3032,1984,4228
134867,5442,249,2979,2502,2584,4713,1116,1455,1493,2502
134904,6484,318,5007,5244,5091,4726,1563,2056,3393,5244
135117,8210,419,4868,5588,4095,5258,1481,3028,2131,5588
135215,9454,408,7678,7920,8978,7826,2153,3426,4992,7920
142054,4760,227,2626,1867,1160,4230,973,1416,855,1867
142144,7534,360,5778,6132,7014,5494,1819,2721,3997,6132
142859,7139,320,5497,5398,5827,5261,1541,3029,3686,5398
143026,2632,99,1370,1054,666,2282,417,498,412,1054
143344,968,34,544,468,228,767,234,85,172,468
144535,25026,1379,19437,19673,21630,19601,5440,10497,11839,19673
144969,4130,164,2060,1955,1799,2916,747,1011,993,1955
145113,12821,682,9440,10193,10986,9932,3209,4596,6645,10193
147119,6279,277,5299,5138,5321,5113,1455,2777,3458,5138
148821,5585,302,8373,9256,13181,4755,2199,3903,8389,9256
149824,16533,901,10650,11293,12092,12132,3717,6652,6958,11293
151541,1947,73,1211,998,570,1873,462,439,417,998
152081,4707,170,4147,4622,4462,3747,961,1181,2948,4622
152501,12968,643,9614,9723,11032,10903,3277,4507,6646,9723
154660,5168,170,4795,4949,4592,4373,1123,1844,3240,4949
159038,12015,565,9283,8892,9148,10184,2737,5040,5786,8892
159633,5068,223,3956,3740,3970,3948,964,1703,2406,3740
161840,5391,229,4442,4363,3744,4665,1163,1927,2841,4363
163510,10860,499,8035,8184,9323,7651,1869,4379,5373,8184
164130,11080,600,7964,8539,9394,8094,2193,4623,5342,8539
164627,5150,219,2473,1769,1410,4306,982,1125,777,1769
170554,9035,383,6129,6460,6925,6391,1749,3229,4059,6460
